18511724;Circe de clasicos y modernos;SCIELO
18510027;Comechingonia ;SCIELO
1850275X;Cuadernos de antropología social;SCIELO
18525768;Cuadernos de herpetología;SCIELO
03251195;Cuadernos de historia de España;SCIELO
16688104;Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy;SCIELO
18533523;Cuadernos del Centro de Estudios en Diseño y Comunicacion. Ensayos;SCIELO
18529615;Cuadernos del CILHA;SCIELO
18533655;Cuaderno urbano;SCIELO
18533175;Cuyo;SCIELO
01034979;Caderno CRH;SCIELO
14139251;Caderno de Estudos;SCIELO
01013262;Cadernos CEDES;SCIELO
01001574;Cadernos de Pesquisa;SCIELO
0102311X;Cadernos de Saúde Pública;SCIELO
16793951;Cadernos EBAPE.BR;SCIELO
22369996;Cadernos Metropole;SCIELO
23168242;Cadernos Nietzsche;SCIELO
01048333;Cadernos Pagu;SCIELO
1414462X;Cadernos Saúde Coletiva;SCIELO
03666913;Cerâmica;SCIELO
01047760;CERNE;SCIELO
15167313;Ciência e Educação (Bauru);SCIELO
14138123;Ciência e Saúde Coletiva;SCIELO
18096891;Ciência Animal Brasileira;SCIELO
01001965;Ciência da Informação;SCIELO
14137054;Ciência e Agrotecnologia;SCIELO
01038478;Ciência Rural;SCIELO
18075932;Clinics;SCIELO
23171782;CoDAS;SCIELO
18081851;Coluna/Columna;SCIELO
18070302;Computational e Applied Mathematics;SCIELO
01028529;Contexto Internacional;SCIELO
19847033;Crop Breeding and Applied Biotechnology;SCIELO
22236279;Curationis;SCIELO
07184565;Calidad en la educacion;SCIELO
07185839;Chilean journal of agricultural research;SCIELO
07177356;Chungara (Arica);SCIELO
07182449;Ciencia e trabajo;SCIELO
07181620;Ciencia e investigacion agraria;SCIELO
07179553;Ciencia y enfermería;SCIELO
0717554X;Cinta de moebio;SCIELO
0719367X;Cuadernos.info;SCIELO
07176821;Cuadernos de economía;SCIELO
07191243;Cuadernos de historia (Santiago);SCIELO
07190646;Cubo (Temuco);SCIELO
03665232;Caldasia;SCIELO
01208705;CES Medicina;SCIELO
19009607;CES Medicina Veterinaria y Zootecnia;SCIELO
0120971X;CES Odontología;SCIELO
01248170;Ciencia e Ingeniería Neogranadina;SCIELO
16578953;Civilizar Ciencias Sociales y Humanas;SCIELO
17945887;Co-herencia;SCIELO
01200739;Colombia Forestal;SCIELO
01215612;Colombia Internacional;SCIELO
16579534;Colombia Médica;SCIELO
01234641;Colombian Applied Linguistics Journal;SCIELO
01225383;CTeF - Ciencia, Tecnología y Futuro;SCIELO
01203592;Cuadernos de Administracion;SCIELO
01204645;Cuadernos de Administracion (Universidad del Valle);SCIELO
01231472;Cuadernos de Contabilidad;SCIELO
01221450;Cuadernos de Desarrollo Rural;SCIELO
01214772;Cuadernos de Economía;SCIELO
0121215X;Cuadernos de Geografía - Revista Colombiana de Geografía;SCIELO
0120131X;Cuestiones Teologicas;SCIELO
15604381;Correo Cientifico Medico;SCIELO
00459178;Cuadernos de Historia de la Salud Publica;SCIELO
02585936;Cultivos Tropicales;SCIELO
03767892;Cirugía Plastica Ibero-Latinoamericana;SCIELO
11305274;Clínica y Salud;SCIELO
11357606;Cuadernos de Medicina Forense;SCIELO
15788423;Cuadernos de Psicología del Deporte;SCIELO
14053586;Ciencia forestal en México;SCIELO
01853880;Ciencias marinas;SCIELO
14050099;Cirujano general;SCIELO
14055546;Computacion y Sistemas;SCIELO
0188252X;Comunicacion y sociedad;SCIELO
20073011;Concreto y cemento. Investigacion y desarrollo;SCIELO
18703569;CONfines de relaciones internacionales y ciencia política;SCIELO
01861042;Contaduría y administracion;SCIELO
14051435;Convergencia;SCIELO
00111503;Crítica (México, D.F.);SCIELO
14059193;Cuestiones constitucionales;SCIELO
01851659;Cuicuilco;SCIELO
18701191;Culturales;SCIELO
20078110;Cultura y representaciones sociales;SCIELO
16099044;Ciencia e Investigacion;SCIELO
16808398;Ciencia e Investigacion Médica Estudiantil Latinoamericana;SCIELO
16803817;Consensus;SCIELO
19921896;Contabilidad y Negocios;SCIELO
16453794;Cadernos de Estudos Africanos;SCIELO
08708312;Ciência e Tecnologia dos Materiais;SCIELO
02540223;Ciência e Técnica Vitivinícola;SCIELO
08729662;Comportamento Organizacional e Gestão;SCIELO
1647581X;Comunicações Geologicas;SCIELO
08701164;Corrosão e Protecção de Materiais;SCIELO
0102311X;Cadernos de Saúde Pública;SCIELO
14138123;Ciência e Saúde Coletiva;SCIELO
01048333;Cadernos Pagu;SCIELO
01214772;Cuadernos de Economía;SCIELO
07976062;Cuadernos del CLAEH;SCIELO
00116793;Darwiniana;SCIELO
18527337;Diaeta;SCIELO
18513727;Documentos y aportes en administracion pública y gestion estatal;SCIELO
00115258;Dados;SCIELO
01024450;DELTA: Documentação de Estudos em Lingüística Teorica e Aplicada;SCIELO
21769451;Dental Press Journal of Orthodontics;SCIELO
22257160;De Jure;SCIELO
07192681;Dialogo andino;SCIELO
01203584;Desarrollo y Sociedad;SCIELO
01208942;Díkaion Revista de Fundamentacion Jurídica;SCIELO
01246127;Discusiones Filosoficas;SCIELO
17949998;Diversitas: Perspectivas en Psicología;SCIELO
00127353;DYNA;SCIELO
1409469X;Dialogos Revista Electronica de Historia;SCIELO
02119536;Dynamis;SCIELO
14059274;Desacatos;SCIELO
01852450;Dianoia;SCIELO
10287175;Dermatología Peruana;SCIELO
00115258;Dados ;SCIELO
0046001X;Desarrollo Economico (Buenos Aires);SCIELO
1667782X;Ecología austral;SCIELO
00733407;El hornero;SCIELO
16692721;Enfoques;SCIELO
15159485;Espacios en blanco. Serie indagaciones ;SCIELO
18519490;Estudios de filosofía practica e historia de las ideas;SCIELO
18511732;Estudios y perspectivas en turismo;SCIELO
01004670;Eclética Química;SCIELO
14138050;Economia Aplicada;SCIELO
01040618;Economia e Sociedade;SCIELO
21756236;Educação e Realidade;SCIELO
01017330;Educação e Sociedade;SCIELO
01024698;Educação em Revista;SCIELO
15179702;Educação e Pesquisa;SCIELO
01044060;Educar em Revista;SCIELO
16794508;Einstein (São Paulo);SCIELO
01006916;Engenharia Agrícola;SCIELO
14134152;Engenharia Sanitaria e Ambiental ;SCIELO
01044036;Ensaio: Avaliação e Políticas Públicas em Educação;SCIELO
03280381;Entomología y Vectores;SCIELO
14148145;Escola Anna Nery;SCIELO
0101546X;Estudos Afro-Asiaticos;SCIELO
01034014;Estudos Avançados;SCIELO
23164018;Estudos de Literatura Brasileira Contemporânea;SCIELO
0103166X;Estudos de Psicologia (Campinas);SCIELO
1413294X;Estudos de Psicologia (Natal);SCIELO
01014161;Estudos Econômicos (São Paulo);SCIELO
01032186;Estudos Historicos (Rio de Janeiro);SCIELO
07173458;Electronic Journal of Biotechnology;SCIELO
07181043;Estudios atacameños;SCIELO
07185200;Estudios constitucionales;SCIELO
07185286;Estudios de economía;SCIELO
00711713;Estudios filologicos;SCIELO
07193769;Estudios internacionales (Santiago);SCIELO
07180705;Estudios pedagogicos (Valdivia);SCIELO
02507161;EURE (Santiago);SCIELO
17946190;Earth Sciences Research Journal;SCIELO
16574206;Ecos de Economía;SCIELO
01231294;Educacion y Educadores;SCIELO
16928857;Eidos;SCIELO
16578031;El agora U.S.B.;SCIELO
01204483;Ensayos sobre POLÍTICA ECONoMICA;SCIELO
19003803;Entramado;SCIELO
01201263;Escritos;SCIELO
01213628;Estudios de Filosofía;SCIELO
01235923;Estudios Gerenciales;SCIELO
01215167;Estudios Políticos;SCIELO
01240579;Estudios Socio-Jurídicos;SCIELO
08642141;Educacion Medica Superior;SCIELO
20772874;EDUMECENTRO;SCIELO
15751813;Educacion Médica;SCIELO
16956141;Enfermería Global;SCIELO
22542884;Enfermería Nefrologica;SCIELO
19893809;Escritos de Psicología (Internet);SCIELO
14058421;Economía, sociedad y territorio;SCIELO
01883380;Economía: teoría y practica;SCIELO
16652045;Economía mexicana. Nueva época;SCIELO
1665952X;Economía UNAM;SCIELO
18706622;EconoQuantum;SCIELO
